epoch,train_loss,val_MAE,val_RMSE
1,288.51110936482746,104.37636461362735,147.70292275390838
2,83.6307586669922,80.30885205950055,111.05732966457656
3,57.580024223327634,95.54935597849416,129.8314525363507
4,52.06359734853109,71.90826136201292,99.49783658756627
5,47.27659353892008,63.89086379585685,89.1185986681033
6,44.2177730178833,64.20024010375306,86.30081320992454
7,37.95529614766439,71.89590879587027,98.2228320235175
8,36.85553797403971,71.06731326763446,96.53185114833163
9,38.660978151957195,99.29605710375439,124.08085424572434
10,38.193736457824706,74.08993894975264,103.4917470988478
11,35.63656448364258,62.13595513983087,85.74911196995858
12,31.031480394999186,55.02496117811937,74.64230534886532
13,28.11495511372884,69.18093507368486,95.39996596500252
14,27.483437137603758,58.48546851860298,80.35426843928998
15,27.30045382817586,55.589139456277366,80.3061253655929
16,26.342950337727864,62.97521008501996,87.53561772897523
17,30.393554331461587,61.48224067687988,81.2375852368864
18,29.202694390614827,55.085667872166894,80.48859458103625
19,27.238298225402833,60.44797224526877,82.75215559854844
20,25.09190189997355,80.90052766066331,105.26921792529484
21,22.31977522532145,52.15744980612954,74.09048880918466
22,21.11688217163086,53.89974891746437,77.7036753665429
23,21.622850348154703,50.40072357261574,73.66910328502074
24,22.195657005310057,51.42346593835852,72.99240775235265
25,24.350171248118084,59.732908311780996,86.44717356012805
26,21.15652463277181,55.48049522232223,78.61842081314352
27,19.381506417592366,55.67860538356907,78.78162009647971
28,18.18466433842977,49.26724010509449,72.03060942321856
29,18.857435105641684,51.23353283221905,74.21966711480354
30,19.13149791717529,57.20397439893785,82.22779413259427
